TimeDate,signal quality,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,lowgamma,mid gamma
0:01:50 2018/7/1,0,38,29,675437,137403,10243,9839,14742,14479,7035,4631
0:01:51 2018/7/1,0,38,23,103770,17205,1317,2465,3212,1309,1344,564
0:01:52 2018/7/1,0,43,30,89588,5704,535,2213,899,643,272,224
0:01:53 2018/7/1,0,38,17,10652,5543,760,414,2022,854,2384,652
0:01:54 2018/7/1,0,41,38,101323,6557,4055,915,2179,1876,3916,501
0:01:55 2018/7/1,0,61,50,39646,6182,4290,2396,4156,6810,4932,2421
0:01:56 2018/7/1,0,54,38,28879,55188,4589,7370,12204,2574,2408,1165
0:01:57 2018/7/1,0,54,47,192103,12812,1522,2484,1691,2083,1964,1913
0:01:58 2018/7/1,0,50,61,10830,7761,10269,2232,467,1651,983,826
0:01:59 2018/7/1,0,30,61,158076,63512,24129,11523,27107,6218,2721,1985
0:02:00 2018/7/1,0,37,69,133175,99477,37798,3615,16041,10117,10084,6492
0:02:01 2018/7/1,0,38,81,12248,3360,841,1549,814,864,588,694
0:02:02 2018/7/1,0,41,63,397436,57612,10352,19216,8940,10007,2328,2161
0:02:03 2018/7/1,0,48,60,178012,28532,7805,4769,7961,6539,2402,1463
0:02:04 2018/7/1,0,56,56,1943579,132341,3295,41125,28410,26748,7533,9062
0:02:05 2018/7/1,25,56,56,183421,18218,6884,10430,10853,5856,3336,2341
0:02:06 2018/7/1,51,56,56,735394,44279,11269,5154,2983,1825,1252,542
0:02:07 2018/7/1,0,47,44,59030,23324,2171,4645,5040,1328,1130,1983
0:02:08 2018/7/1,0,48,43,1774401,179248,59479,31085,61474,48147,26193,23914
0:02:09 2018/7/1,26,48,43,1094406,29958,4582,3125,5546,1478,1015,498
0:02:10 2018/7/1,0,44,43,565038,41664,3357,14017,11164,6274,2128,1175
0:02:11 2018/7/1,0,35,61,1754752,274304,173608,130592,47061,23225,35398,36678
0:02:12 2018/7/1,0,47,77,985728,74057,21337,51821,7679,30256,16889,13538
0:02:13 2018/7/1,0,47,74,927040,226089,11781,73952,85744,44620,40287,36389
0:02:14 2018/7/1,0,47,66,1336773,246054,23682,36861,49244,38848,20860,15150
0:02:15 2018/7/1,0,44,50,951174,226482,47572,25045,6341,10147,14950,15947
0:02:16 2018/7/1,0,37,29,1174508,33779,5444,1017,3396,3270,2002,1227
0:02:17 2018/7/1,0,40,51,895429,6523,6246,6430,1375,3630,2272,1134
0:02:18 2018/7/1,0,35,70,160405,34552,16848,14846,6159,4468,3009,950
0:02:19 2018/7/1,0,37,70,167551,12958,3153,1135,578,761,404,709
0:02:20 2018/7/1,0,38,81,1050118,486149,47013,174481,123132,72656,49538,36020
