TimeDate,RAW
0:01:50 2018/7/1,119
0:01:50 2018/7/1,138
0:01:50 2018/7/1,146
0:01:50 2018/7/1,144
0:01:50 2018/7/1,138
0:01:50 2018/7/1,137
0:01:50 2018/7/1,138
0:01:50 2018/7/1,137
0:01:50 2018/7/1,139
0:01:50 2018/7/1,161
0:01:50 2018/7/1,187
0:01:50 2018/7/1,188
0:01:50 2018/7/1,169
0:01:50 2018/7/1,150
0:01:50 2018/7/1,132
0:01:50 2018/7/1,135
0:01:50 2018/7/1,145
0:01:50 2018/7/1,139
0:01:50 2018/7/1,124
0:01:50 2018/7/1,114
0:01:50 2018/7/1,113
0:01:50 2018/7/1,121
0:01:50 2018/7/1,134
0:01:50 2018/7/1,144
0:01:50 2018/7/1,147
0:01:50 2018/7/1,151
0:01:50 2018/7/1,153
0:01:50 2018/7/1,153
0:01:50 2018/7/1,160
0:01:50 2018/7/1,169
0:01:50 2018/7/1,194
0:01:50 2018/7/1,211
0:01:50 2018/7/1,212
0:01:50 2018/7/1,205
0:01:50 2018/7/1,205
0:01:50 2018/7/1,210
0:01:50 2018/7/1,203
0:01:50 2018/7/1,193
0:01:50 2018/7/1,184
0:01:50 2018/7/1,180
0:01:50 2018/7/1,184
0:01:50 2018/7/1,201
0:01:50 2018/7/1,214
0:01:50 2018/7/1,205
0:01:50 2018/7/1,183
0:01:50 2018/7/1,168
0:01:50 2018/7/1,167
0:01:50 2018/7/1,168
0:01:50 2018/7/1,172
0:01:50 2018/7/1,172
0:01:50 2018/7/1,163
0:01:50 2018/7/1,149
0:01:50 2018/7/1,138
0:01:50 2018/7/1,130
0:01:50 2018/7/1,120
0:01:50 2018/7/1,116
0:01:50 2018/7/1,116
0:01:50 2018/7/1,112
0:01:50 2018/7/1,107
0:01:50 2018/7/1,106
0:01:50 2018/7/1,105
0:01:50 2018/7/1,106
0:01:50 2018/7/1,116
0:01:50 2018/7/1,125
0:01:50 2018/7/1,119
0:01:50 2018/7/1,103
0:01:50 2018/7/1,92
0:01:50 2018/7/1,90
0:01:50 2018/7/1,90
0:01:50 2018/7/1,97
0:01:50 2018/7/1,107
0:01:50 2018/7/1,124
0:01:50 2018/7/1,129
0:01:50 2018/7/1,108
0:01:50 2018/7/1,84
0:01:50 2018/7/1,68
0:01:50 2018/7/1,71
0:01:50 2018/7/1,85
0:01:50 2018/7/1,92
0:01:50 2018/7/1,89
0:01:50 2018/7/1,81
0:01:50 2018/7/1,71
0:01:50 2018/7/1,65
0:01:50 2018/7/1,59
0:01:50 2018/7/1,60
0:01:50 2018/7/1,68
0:01:50 2018/7/1,74
0:01:50 2018/7/1,71
0:01:50 2018/7/1,67
0:01:50 2018/7/1,65
0:01:50 2018/7/1,67
0:01:50 2018/7/1,59
0:01:50 2018/7/1,44
0:01:50 2018/7/1,38
0:01:50 2018/7/1,43
0:01:50 2018/7/1,52
0:01:50 2018/7/1,54
0:01:50 2018/7/1,45
0:01:50 2018/7/1,33
0:01:50 2018/7/1,22
0:01:50 2018/7/1,22
0:01:50 2018/7/1,32
0:01:50 2018/7/1,38
0:01:50 2018/7/1,38
0:01:50 2018/7/1,35
0:01:50 2018/7/1,27
0:01:50 2018/7/1,22
0:01:50 2018/7/1,17
0:01:50 2018/7/1,10
0:01:50 2018/7/1,11
0:01:50 2018/7/1,19
0:01:50 2018/7/1,27
0:01:50 2018/7/1,36
0:01:50 2018/7/1,35
0:01:50 2018/7/1,32
0:01:50 2018/7/1,24
0:01:50 2018/7/1,21
0:01:50 2018/7/1,22
0:01:50 2018/7/1,25
0:01:50 2018/7/1,35
0:01:50 2018/7/1,64
0:01:50 2018/7/1,87
0:01:50 2018/7/1,82
0:01:50 2018/7/1,55
0:01:50 2018/7/1,35
0:01:50 2018/7/1,22
0:01:50 2018/7/1,20
0:01:50 2018/7/1,19
0:01:50 2018/7/1,19
0:01:50 2018/7/1,16
0:01:50 2018/7/1,16
0:01:50 2018/7/1,22
0:01:50 2018/7/1,37
0:01:50 2018/7/1,43
0:01:50 2018/7/1,37
0:01:50 2018/7/1,25
0:01:50 2018/7/1,23
